t_s,pura_cmH2O,pura_min_cmH2O,pura_max_cmH2O
151.1503,61.15,58.33,63.89
151.4003,60.10,58.33,61.11
151.6503,60.37,58.33,61.83
151.9003,62.17,61.11,63.89
152.1503,62.17,61.11,63.89
152.4003,60.86,58.33,63.89
152.6503,60.10,58.33,61.11
152.9003,62.03,61.11,63.89
153.1503,61.23,58.55,63.89
153.4003,60.41,58.33,61.95
153.6503,60.10,58.33,61.11
153.9003,61.41,59.04,63.89
154.1503,62.17,61.11,63.89
154.4003,62.17,61.11,63.89
154.6503,60.28,58.33,62.26
154.9003,61.78,59.34,63.89
155.1503,62.06,60.72,63.89
155.4003,61.17,58.33,63.89
155.6503,61.99,60.26,63.89
155.9003,62.67,61.11,63.89
156.1503,63.86,63.20,65.98
156.4003,62.17,61.11,63.89
156.6503,62.17,61.11,63.89
156.9003,62.98,61.11,65.50
157.1503,64.08,62.89,66.67
157.4003,62.25,61.11,63.89
157.6503,62.17,61.11,63.89
157.9003,63.91,63.03,66.67
158.1503,64.12,62.59,66.67
158.4003,62.28,61.11,63.89
158.6503,62.39,61.11,63.95
158.9003,64.05,63.33,66.67
159.1503,64.36,63.89,66.67
159.4003,63.25,61.11,66.67
159.6503,62.48,61.11,64.25
159.9003,64.30,63.63,66.67
160.1503,64.36,63.89,66.67
160.4003,62.90,61.11,66.67
160.6503,64.36,63.89,66.67
160.9003,64.36,63.89,66.67
161.1503,64.36,63.89,66.67
161.4003,63.35,61.11,66.67
161.6503,62.43,61.11,64.86
161.9003,62.28,61.11,63.89
162.1503,64.17,63.62,66.40
162.4003,62.55,61.11,64.77
162.6503,62.17,61.11,63.89
162.9003,63.39,61.77,64.54
163.1503,64.34,63.85,66.67
163.4003,62.92,61.11,66.67
163.6503,63.24,61.11,66.67
163.9003,62.53,61.11,64.85
164.1503,64.36,63.89,66.67
164.4003,64.36,63.89,66.67
164.6503,62.58,61.11,64.79
164.9003,62.17,61.11,63.89
165.1503,63.33,61.75,66.67
165.4003,64.34,63.86,66.64
165.6503,62.44,61.11,63.89
165.9003,62.17,61.11,63.89
166.1503,62.17,61.11,63.89
166.4003,63.73,61.11,66.67
166.6503,62.38,61.11,64.18
166.9003,62.17,61.11,63.89
167.1503,62.22,61.11,63.89
167.4003,62.74,61.11,66.04
167.6503,62.37,61.11,63.89
167.9003,62.17,61.11,63.89
168.1503,62.17,61.11,63.89
168.4003,62.17,61.11,63.89
168.6503,62.17,61.11,63.89
168.9003,62.17,61.11,63.89
169.1503,62.17,61.11,63.89
169.4003,64.36,63.89,66.67
169.6503,64.13,63.27,66.67
169.9003,62.90,61.11,66.67
170.1503,62.17,61.11,63.89
170.4003,62.61,61.11,65.43
170.6503,62.73,61.11,65.74
170.9003,62.17,61.11,63.89
171.1503,62.17,61.11,63.89
171.4003,62.96,61.11,65.73
171.6503,62.69,61.11,65.44
171.9003,62.22,60.50,64.50
172.1503,61.39,58.33,63.90
172.4003,62.94,61.11,66.04
172.6503,64.36,63.89,66.67
172.9003,63.24,61.11,66.67
173.1503,62.17,61.11,63.89
173.4003,62.22,61.11,63.89
173.6503,63.12,61.11,66.67
173.9003,62.17,61.11,63.89
174.1503,62.17,61.11,63.89
174.4003,62.17,61.11,63.89
174.6503,64.36,63.89,66.67
